,open,high,low,close,volume
2023-05-05,323.36,325.16,322.62,323.88,3876299.0
2023-05-04,323.44,325.99,317.41,320.0,3194768.0
2023-05-03,327.13,328.07,323.06,323.22,2660456.0
2023-05-02,330.15,330.25,322.7601,325.86,3369713.0
2023-05-01,329.16,331.84,328.57,330.17,2465391.0
2023-04-28,325.44,328.81,325.19,328.55,2912387.0
2023-04-27,322.86,326.91,322.11,326.23,2951130.0
2023-04-26,323.31,323.74,319.0,320.53,2613729.0
2023-04-25,325.99,327.1,324.11,324.34,2554381.0
2023-04-24,324.43,326.395,324.3,326.05,2262391.0
2023-04-21,322.36,324.85,321.61,324.33,2405869.0
2023-04-20,322.2,324.3693,321.324,323.82,2429179.0
2023-04-19,323.85,324.55,322.76,323.09,2410917.0
2023-04-18,324.95,325.7242,322.495,324.63,3582623.0
2023-04-17,320.2,323.98,319.0,323.79,3409485.0
2023-04-14,318.89,321.88,318.12,319.74,2976417.0
2023-04-13,315.27,318.81,313.26,318.05,3325989.0
2023-04-12,315.97,316.92,313.72,314.55,2663461.0
2023-04-11,312.56,315.94,311.77,313.7,3109850.0
2023-04-10,311.41,313.7,310.335,312.62,2331743.0
2023-04-06,309.82,313.22,309.05,312.51,3132148.0
2023-04-05,307.85,311.07,307.85,310.39,2314853.0
2023-04-04,310.76,311.0,307.07,309.07,2740754.0
2023-04-03,309.25,311.5,308.24,310.31,4863537.0
2023-03-31,305.9,308.81,304.9877,308.77,5022204.0
2023-03-30,307.09,307.47,302.5772,305.08,2694985.0
2023-03-29,304.8,305.38,303.36,305.3,2651414.0
2023-03-28,301.93,302.72,300.5901,302.32,2437683.0
2023-03-27,300.88,303.21,298.97,302.14,3835260.0
2023-03-24,294.68,299.5,293.3947,298.92,3905988.0
2023-03-23,301.39,302.0799,296.3,298.37,4016197.0
2023-03-22,303.72,307.05,299.65,299.73,3089313.0
2023-03-21,304.56,305.63,302.25,303.85,4725100.0
2023-03-20,295.57,301.51,295.06,301.06,6059923.0
2023-03-17,301.3,301.3,292.42,293.51,15611270.0
2023-03-16,296.37,304.43,295.36,302.01,6327578.0
2023-03-15,300.02,300.55,294.9,297.88,7165298.0
2023-03-14,306.92,307.55,301.68,305.33,5255174.0
2023-03-13,301.75,306.59,300.76,302.88,4993820.0
2023-03-10,302.95,306.72,301.92,303.63,5297790.0
2023-03-09,311.0,313.18,303.9388,304.82,3934324.0
2023-03-08,310.72,312.675,309.2522,311.37,2706760.0
2023-03-07,316.39,316.5,310.23,311.12,3610304.0
2023-03-06,312.82,317.29,312.43,316.97,4892345.0
2023-03-03,309.56,312.66,308.5,312.45,4493702.0
2023-03-02,303.66,308.1,301.445,307.75,3153781.0
2023-03-01,304.02,305.62,302.08,304.62,3400537.0
2023-02-28,304.89,306.15,303.41,305.18,4737739.0
2023-02-27,304.37,305.78,302.01,304.66,3652907.0
2023-02-24,300.4,305.62,300.01,304.02,3659339.0
2023-02-23,305.01,305.56,300.25,303.07,2739656.0
2023-02-22,303.2,305.275,301.77,303.16,2900326.0
2023-02-21,306.17,307.3,300.5,302.72,4131732.0
2023-02-17,307.15,308.41,305.48,308.24,2721407.0
2023-02-16,307.58,310.2,306.87,308.18,2803844.0
2023-02-15,309.98,310.37,308.28,309.63,2411819.0
2023-02-14,313.78,314.1,309.04,310.79,2908849.0
2023-02-13,310.3,313.74,309.62,313.74,3261952.0
2023-02-10,307.08,309.98,305.28,309.89,2811155.0
2023-02-09,310.17,311.42,306.99,307.21,3462603.0
2023-02-08,311.12,313.41,308.01,308.48,3370587.0
2023-02-07,307.3,314.15,306.63,312.97,3788007.0
2023-02-06,308.25,308.8,305.6,308.43,2980217.0
2023-02-03,311.0,311.55,305.921,308.51,5387548.0
2023-02-02,312.35,312.6,308.3,311.86,4430266.0
2023-02-01,309.63,312.67,306.38,310.57,3520304.0
2023-01-31,307.74,311.86,305.79,311.52,3655334.0
2023-01-30,307.6,309.5115,306.81,307.33,3475781.0
2023-01-27,309.79,311.73,308.34,309.17,3034223.0
2023-01-26,312.99,313.68,309.58,310.95,2858754.0
2023-01-25,308.33,312.55,307.71,311.9,2300785.0
2023-01-24,309.3,312.83,307.5,311.3,2234333.0
2023-01-23,309.63,312.73,306.8501,310.42,3088133.0
2023-01-20,305.21,310.01,304.3626,309.87,3772210.0
2023-01-19,306.12,307.235,303.86,305.23,3615144.0
2023-01-18,315.0,315.54,307.75,308.3,3408726.0
2023-01-17,318.4,318.52,314.25,314.86,3479442.0
2023-01-13,317.49,318.42,315.79,317.64,2773650.0
2023-01-12,321.15,321.32,317.72,318.93,3075151.0
2023-01-11,318.52,320.57,316.6,320.37,3001242.0
2023-01-10,315.0,316.8,313.34,316.35,3050322.0
2023-01-09,319.02,320.5,314.75,315.53,4399047.0
2023-01-06,315.0,320.16,313.38,318.69,3648810.0
2023-01-05,313.574,314.23,310.0,312.9,3418149.0
2023-01-04,312.0,316.89,311.25,314.55,5122121.0
2023-01-03,310.07,312.385,307.38,309.91,3551418.0
2022-12-30,306.95,309.04,305.6212,308.9,3298865.0
2022-12-29,305.94,309.38,305.235,309.06,2848063.0
2022-12-28,304.77,307.4607,303.26,303.43,2628685.0
2022-12-27,306.45,308.575,304.65,305.55,2731731.0
2022-12-23,302.88,306.57,300.925,306.49,2460858.0
2022-12-22,306.1,306.5,297.6391,302.69,3560763.0
2022-12-21,304.38,308.54,304.16,307.82,3265614.0
2022-12-20,300.09,304.19,297.0,302.0,3091869.0
2022-12-19,300.51,301.48,297.15,300.03,3842880.0
2022-12-16,299.05,302.47,297.76,300.0,8308365.0
2022-12-15,306.43,306.96,299.445,301.91,5107189.0
2022-12-14,312.74,316.3596,308.4,309.29,4057911.0
2022-12-13,318.4,318.91,310.82,312.33,5043156.0
2022-12-12,307.55,311.91,305.46,311.45,4367987.0
2022-12-09,305.32,308.34,304.71,306.39,3327110.0
2022-12-08,306.0,307.4899,305.09,305.99,2353269.0
2022-12-07,307.07,309.3842,304.915,305.82,4132430.0
2022-12-06,309.95,310.29,306.35,307.78,3877585.0
2022-12-05,315.22,315.66,308.73,310.57,3836532.0
2022-12-02,313.49,316.38,312.75,316.15,3026517.0
2022-12-01,319.0,319.56,313.3,315.84,4354849.0
2022-11-30,315.13,318.6,308.7,318.6,7924360.0
2022-11-29,311.89,315.29,311.35,315.13,3742168.0
2022-11-28,316.25,317.64,312.33,313.27,4232097.0
2022-11-25,317.52,319.12,316.18,317.43,1844916.0
2022-11-23,315.385,316.4292,314.07,316.18,2685619.0
2022-11-22,313.0,316.555,312.05,315.76,3172808.0
2022-11-21,310.81,312.9,308.58,311.2,2863030.0
2022-11-18,310.55,311.2,308.615,310.76,3397072.0
2022-11-17,305.7,307.62,304.15,307.44,3064676.0
2022-11-16,310.93,311.55,306.74,308.76,2971379.0
2022-11-15,313.665,313.89,307.1838,309.98,4373585.0
2022-11-14,310.0,311.84,308.84,308.91,4639814.0
2022-11-11,305.56,311.33,302.6,309.72,6572828.0
2022-11-10,297.11,303.5,294.54,303.2,5695773.0
2022-11-09,291.98,292.4,288.06,288.65,2760166.0
