,open,high,low,close,volume
2023-03-14,93.07,94.83,92.78,94.25,32303881.0
2023-03-13,90.565,93.08,89.94,91.66,31508570.0
2023-03-10,92.5,93.18,90.8,91.01,32850092.0
2023-03-09,94.49,95.92,92.355,92.66,24438890.0
2023-03-08,94.405,96.24,94.405,94.65,25395200.0
2023-03-07,95.42,96.09,93.8443,94.17,24101536.0
2023-03-06,94.36,96.3,94.3,95.58,28288206.0
2023-03-03,92.74,94.11,92.66,94.02,30242538.0
2023-03-02,89.86,92.48,89.77,92.31,23344562.0
2023-03-01,90.16,91.2,89.85,90.51,26323876.0
2023-02-28,89.54,91.45,89.52,90.3,30546912.0
2023-02-27,90.09,90.4499,89.61,90.1,22724262.0
2023-02-24,89.63,90.13,88.86,89.35,31295619.0
2023-02-23,92.13,92.13,90.01,91.07,32423720.0
2023-02-22,91.934,92.36,90.87,91.8,29891135.0
2023-02-21,93.24,93.4149,92.0,92.05,28367198.0
2023-02-17,95.07,95.75,93.45,94.59,31095067.0
2023-02-16,95.54,97.88,94.97,95.78,35642106.0
2023-02-15,94.74,97.34,94.36,97.1,37029885.0
2023-02-14,94.66,95.175,92.65,94.95,42513079.0
2023-02-13,95.01,95.35,94.05,95.0,43116559.0
2023-02-10,95.74,97.02,94.53,94.86,49325275.0
2023-02-09,100.54,100.61,93.86,95.46,97798573.0
2023-02-08,102.69,103.58,98.455,100.0,73546029.0
2023-02-07,103.63,108.67,103.5475,108.04,33738828.0
2023-02-06,102.685,104.7,102.21,103.47,25573046.0
2023-02-03,103.51,108.02,103.3,105.22,36823421.0
2023-02-02,106.79,108.82,106.54,108.8,46622627.0
2023-02-01,99.74,102.1899,98.42,101.43,26392568.0
2023-01-31,97.86,99.91,97.79,99.87,22306778.0
2023-01-30,98.745,99.4088,97.52,97.95,24365142.0
2023-01-27,99.05,101.58,98.97,100.71,29020354.0
2023-01-26,98.28,99.21,96.82,99.16,24542060.0
2023-01-25,97.2,97.72,95.262,96.73,31000850.0
2023-01-24,99.55,101.09,98.7,99.21,27391372.0
2023-01-23,99.13,101.4,98.75,101.21,31791782.0
2023-01-20,95.95,99.42,95.91,99.28,53704763.0
2023-01-19,91.39,94.4,91.38,93.91,28707653.0
2023-01-18,92.94,93.588,91.4,91.78,19641622.0
2023-01-17,92.78,92.97,90.84,92.16,22935823.0
2023-01-13,91.528,92.98,90.93,92.8,18630709.0
2023-01-12,92.4,92.62,90.57,91.91,22754216.0
2023-01-11,90.06,92.45,89.74,92.26,25998844.0
2023-01-10,86.72,89.475,86.7,89.24,22855590.0
2023-01-09,89.195,90.83,88.58,88.8,22996681.0
2023-01-06,87.36,88.47,85.57,88.16,26612628.0
2023-01-05,88.07,88.21,86.56,86.77,23136084.0
2023-01-04,91.01,91.24,87.8,88.71,27046483.0
2023-01-03,89.83,91.55,89.02,89.7,20738457.0
2022-12-30,87.365,88.83,87.03,88.73,19190296.0
2022-12-29,87.03,89.365,86.99,88.95,18280660.0
2022-12-28,87.5,88.52,86.3701,86.46,17879567.0
2022-12-27,89.31,89.5,87.535,87.93,15470870.0
2022-12-23,87.62,90.1,87.62,89.81,17815010.0
2022-12-22,88.93,89.18,86.9401,88.26,23656066.0
2022-12-21,89.73,90.915,88.91,90.25,20336387.0
2022-12-20,88.73,89.78,88.04,89.63,21976846.0
2022-12-19,90.88,91.2,88.925,89.15,23020537.0
2022-12-16,91.2,91.75,90.01,90.86,48485507.0
2022-12-15,93.54,94.03,90.43,91.2,28298756.0
2022-12-14,95.54,97.22,93.94,95.31,26452939.0
2022-12-13,98.07,99.8,95.38,95.85,34788522.0
2022-12-12,93.09,93.8745,91.9,93.56,27380948.0
2022-12-09,93.9,94.49,93.02,93.07,21885308.0
2022-12-08,95.69,95.87,93.8,93.95,25593232.0
2022-12-07,96.77,97.31,95.025,95.15,26647877.0
2022-12-06,99.67,100.21,96.7604,97.31,20877623.0
2022-12-05,99.815,101.7499,99.355,99.87,19955546.0
2022-12-02,99.37,101.15,99.17,100.83,18821527.0
2022-12-01,101.4,102.59,100.67,101.28,21771536.0
2022-11-30,95.12,101.45,94.67,101.45,39888074.0
2022-11-29,96.0,96.3901,94.39,95.44,20220007.0
2022-11-28,97.2,97.83,95.89,96.25,19981974.0
2022-11-25,98.465,98.94,97.53,97.6,8567819.0
2022-11-23,97.34,99.0685,97.34,98.82,17568859.0
2022-11-22,96.16,97.5475,94.41,97.33,18868850.0
2022-11-21,97.56,98.72,95.67,95.83,18696874.0
2022-11-18,99.01,99.16,96.74,97.8,24969880.0
2022-11-17,97.18,99.48,97.1,98.5,21818732.0
2022-11-16,98.02,99.85,97.9015,98.99,24660195.0
2022-11-15,98.67,100.42,97.02,98.72,31830969.0
2022-11-14,95.5,97.18,95.1125,96.03,24170076.0
2022-11-11,94.71,97.36,94.16,96.73,30569112.0
2022-11-10,92.34,94.55,91.65,94.17,42371216.0
2022-11-09,88.545,89.49,87.3599,87.4,26743883.0
2022-11-08,89.16,90.405,87.65,88.91,30172001.0
2022-11-07,87.34,88.94,86.96,88.65,26899879.0
2022-11-04,85.51,86.73,83.88,86.7,40173284.0
2022-11-03,86.345,86.55,83.45,83.49,48510364.0
2022-11-02,90.91,91.3,87.01,87.07,43553551.0
2022-11-01,95.59,96.165,90.43,90.5,43220599.0
2022-10-31,95.78,96.35,94.38,94.66,29868714.0
2022-10-28,92.53,96.86,92.3225,96.58,35696925.0
