,open,high,low,close,volume
2022-12-21,161.45,162.73,160.36,162.21,3707199.0
2022-12-20,161.61,161.85,160.07,160.58,4221227.0
2022-12-19,160.78,162.23,160.06,161.49,4033361.0
2022-12-16,162.05,163.32,160.48,160.48,18905522.0
2022-12-15,163.89,164.61,161.95,163.1,5268477.0
2022-12-14,164.6,165.98,162.83,164.86,4485377.0
2022-12-13,166.95,167.5,164.67,164.79,5050473.0
2022-12-12,163.21,165.49,162.75,165.32,4109432.0
2022-12-09,166.76,167.75,162.81,163.06,4644814.0
2022-12-08,165.4,166.23,164.28,165.99,4274507.0
2022-12-07,163.69,165.53,163.26,165.4,4637777.0
2022-12-06,164.03,164.385,161.55,163.72,5480495.0
2022-12-05,162.89,165.19,162.89,163.94,4859547.0
2022-12-02,160.72,163.76,160.5125,163.66,4305089.0
2022-12-01,161.0,163.2,159.98,161.63,5827897.0
2022-11-30,158.79,161.18,156.46,161.18,12342536.0
2022-11-29,158.31,159.4299,157.21,158.2,3688967.0
2022-11-28,160.0,160.73,157.83,158.43,3902961.0
2022-11-25,159.59,160.75,159.2411,159.62,1661909.0
2022-11-23,159.95,160.94,158.82,159.39,3221178.0
2022-11-22,157.69,159.88,157.5601,159.79,5351192.0
2022-11-21,155.395,158.6286,154.43,157.11,6492325.0
2022-11-18,153.67,155.64,153.67,154.98,5691126.0
2022-11-17,150.97,153.074,149.97,152.16,5069501.0
2022-11-16,153.44,156.69,151.23,151.87,7358683.0
2022-11-15,153.39,153.42,149.9614,153.04,5909485.0
2022-11-14,150.98,154.535,150.98,151.74,7077092.0
2022-11-11,149.54,150.52,145.745,150.16,6786445.0
2022-11-10,150.66,150.66,147.75,149.72,5607668.0
2022-11-09,148.59,150.57,147.04,147.62,4573740.0
2022-11-08,148.83,151.63,147.96,148.53,4637534.0
2022-11-07,145.28,148.8,144.7,148.1,4304139.0
2022-11-04,145.35,145.58,143.08,145.28,4623813.0
2022-11-03,144.0,145.42,143.03,144.42,3850854.0
2022-11-02,147.03,148.08,144.48,144.52,5345330.0
2022-11-01,146.66,147.7,144.55,146.91,6351399.0
2022-10-31,145.17,146.78,144.08,146.4,8604836.0
2022-10-28,145.93,148.98,142.34,147.61,10812155.0
2022-10-27,153.76,153.99,152.06,153.5,6850415.0
2022-10-26,151.01,152.89,150.7,152.51,4728270.0
2022-10-25,148.03,150.6,147.285,149.82,5229382.0
2022-10-24,148.71,151.53,148.7,150.89,5139685.0
2022-10-21,143.34,147.755,142.425,147.06,5419447.0
2022-10-20,143.16,144.0367,142.43,142.93,3880102.0
2022-10-19,144.8,145.45,142.31,143.13,3333531.0
2022-10-18,145.23,145.8694,143.53,144.6,3540393.0
2022-10-17,142.65,144.93,142.1,144.41,4016197.0
2022-10-14,142.6,144.48,142.21,142.94,5290634.0
2022-10-13,136.7,143.18,136.27,142.92,5066422.0
2022-10-12,141.64,143.06,139.93,139.98,4527978.0
2022-10-11,138.02,143.68,138.02,141.51,5675053.0
2022-10-10,139.03,139.585,136.87,138.31,3830982.0
2022-10-07,139.01,140.05,137.55,138.76,4648839.0
2022-10-06,142.79,142.99,139.9,140.29,5124994.0
2022-10-05,141.47,144.47,141.1101,143.33,4777913.0
2022-10-04,139.21,142.72,137.7585,141.99,6612386.0
2022-10-03,135.88,138.8,135.3058,138.32,7437506.0
2022-09-30,142.2,142.325,134.09,134.21,15358992.0
2022-09-29,144.85,145.25,141.83,142.72,5509430.0
2022-09-28,144.22,145.317,142.6222,144.6,5226665.0
2022-09-27,142.59,145.54,141.29,141.72,5598162.0
